LWDOWN,PSFC,Q2D,RAINRATE,SWDOWN,T2D,U2D,V2D,lat,lon,area_sqkm
327.3317565917969,99317.6953125,0.007798943668603897,0.0,0.0,297.0147399902344,-0.07850120961666107,6.6019606590271,40.636253,-87.71896,1159.528499
323.739990234375,99269.4765625,0.007584852632135153,0.0,0.0,295.02099609375,0.1228110045194626,7.010598659515381,40.636253,-87.71896,1159.528499
320.15032958984375,99221.734375,0.007366260513663292,0.0,0.0,293.026123046875,0.32493463158607483,7.420013904571532,40.636253,-87.71896,1159.528499
321.6626892089844,99173.4296875,0.00714487675577402,0.0,0.0,291.0323486328125,0.5277042984962463,7.829241752624513,40.636253,-87.71896,1159.528499
321.12127685546875,99134.4453125,0.007203538902103902,0.0,0.0,290.3211669921875,0.4610016047954559,8.023277282714844,40.636253,-87.71896,1159.528499
320.57586669921875,99095.0625,0.0072597083635628215,0.0,0.0,289.6099853515625,0.3969199061393738,8.217952728271483,40.636253,-87.71896,1159.528499
371.015625,99055.7421875,0.00731426803395152,0.00013404764467850327,0.0,288.8988037109375,0.3330110013484955,8.414380073547362,40.636253,-87.71896,1159.528499
370.9843444824219,99055.1484375,0.0075422339141368875,0.0007849425310268997,0.0,288.8403015136719,0.6830506920814514,7.893669605255128,40.636253,-87.71896,1159.528499
370.9609680175781,99054.6796875,0.007770666386932135,0.0005061498377472162,0.0,288.7817077636719,1.0331401824951172,7.372902870178223,40.636253,-87.71896,1159.528499
354.6319580078125,99054.015625,0.007999665103852749,4.721692675957456e-05,0.0,288.7231750488281,1.3826277256011963,6.849883556365968,40.636253,-87.71896,1159.528499
354.47698974609375,99064.6640625,0.00809493288397789,0.0,0.0,288.1846618652344,1.7309107780456543,6.037257671356201,40.636253,-87.71896,1159.528499
354.3260498046875,99075.421875,0.008189892396330833,0.0,0.0,287.6461486816406,2.0783419609069824,5.222289085388184,40.636253,-87.71896,1159.528499
352.50567626953125,99086.0,0.008283531293272972,0.0,18.563514709472656,287.107666015625,2.4263389110565186,4.4080657958984375,40.636253,-87.71896,1159.528499
356.4712829589844,99128.1015625,0.00876205787062645,0.0,126.5845947265625,288.75604248046875,3.354741096496582,4.47409725189209,40.636253,-87.71896,1159.528499
360.4770202636719,99170.40625,0.009273312985897064,0.0,224.73834228515625,290.4076232910156,4.2818145751953125,4.538553714752197,40.636253,-87.71896,1159.528499
384.9944152832031,99212.5390625,0.009814757853746414,0.0,170.78897094726562,292.05596923828125,5.21026086807251,4.603827953338623,40.636253,-87.71896,1159.528499
384.6890869140625,99216.75,0.009730747900903223,0.0,212.33599853515625,291.99871826171875,5.629011631011963,4.001681327819823,40.636253,-87.71896,1159.528499
384.3837585449219,99220.5390625,0.009647279977798462,0.0,239.7468414306641,291.9430847167969,6.048510551452638,3.3994081020355225,40.636253,-87.71896,1159.528499
395.8566284179688,99224.546875,0.00956460926681757,0.0,333.8646240234375,291.8858642578125,6.4684410095214835,2.7974655628204346,40.636253,-87.71896,1159.528499
399.809326171875,99222.75,0.01011342741549015,0.0,311.2743225097656,293.520751953125,6.0091590881347665,1.9992960691452024,40.636253,-87.71896,1159.528499
403.7711791992188,99220.9296875,0.01068734098225832,0.0,268.43222045898443,295.15673828125,5.551816463470459,1.1999897956848145,40.636253,-87.71896,1159.528499
394.6135559082031,99219.0,0.011287118308246136,0.0,267.02667236328125,296.7916259765625,5.092564582824707,0.3995375335216522,40.636253,-87.71896,1159.528499
391.2239074707031,99274.953125,0.01088840700685978,0.0,169.17404174804688,295.4183654785156,4.440667152404785,0.2737608850002289,40.636253,-87.71896,1159.528499
387.842529296875,99330.5390625,0.010498818941414356,0.0,58.49557876586914,294.04461669921875,3.787887096405029,0.1482727825641632,40.636253,-87.71896,1159.528499
358.762451171875,99386.484375,0.010120011866092682,0.0,0.0,292.6713562011719,3.1357696056365967,0.02202846854925156,40.636253,-87.71896,1159.528499
358.96319580078125,99359.625,0.010117463767528534,0.0,0.0,292.01544189453125,2.8179874420166016,0.4481739103794098,40.636253,-87.71896,1159.528499
359.1561279296875,99333.0,0.010113921016454695,0.0,0.0,291.3584289550781,2.4972500801086426,0.8743484616279602,40.636253,-87.71896,1159.528499
359.450439453125,99306.0390625,0.010111580602824688,0.0,0.0,290.70245361328125,2.1801764965057373,1.299693584442139,40.636253,-87.71896,1159.528499
359.2611389160156,99303.53125,0.010090568102896214,0.0,0.0,290.3531799316406,1.7622243165969849,1.6389268636703491,40.636253,-87.71896,1159.528499
359.0587463378906,99301.203125,0.010068217292428015,0.0,0.0,290.00421142578125,1.3456037044525146,1.977241396903992,40.636253,-87.71896,1159.528499
347.1575012207031,99298.671875,0.010048303753137587,0.0,0.0,289.6549072265625,0.9284249544143676,2.317075490951538,40.636253,-87.71896,1159.528499
347.15399169921875,99270.2421875,0.009888206608593464,0.0,0.0,289.19122314453125,0.7828140854835509,2.5574097633361816,40.636253,-87.71896,1159.528499
347.14837646484375,99241.8203125,0.00972820445895195,0.0,0.0,288.7275695800781,0.6347369551658629,2.79815411567688,40.636253,-87.71896,1159.528499
326.5876159667969,99213.28125,0.009568385779857635,0.0,0.0,288.2638854980469,0.4873174428939819,3.0381734371185303,40.636253,-87.71896,1159.528499
326.6866455078125,99224.2109375,0.009351944550871849,0.0,0.0,287.79644775390625,0.11403022706508635,2.9735689163208012,40.636253,-87.71896,1159.528499
326.7942199707031,99234.953125,0.009136398322880268,0.0,0.0,287.3291015625,-0.2583574950695038,2.907780170440674,40.636253,-87.71896,1159.528499
